 # webanno.custom.Participants | Participant # webanno.custom.Eventsandparticipants | Event # webanno.custom.Corefchains | Coref | AttachTo=webanno.custom.Participants
#id=1
#text=Tonight I road on a public bus .
1-1	Tonight	B-ScrPart_time/date	O	_	_	
4-14	people	B-ScrPart_passenger	O	_	_	
4-15	.	O	O	_	_	

#id=5
#text=When you ride on the bus there can be all types of people on the bus with you .
5-1	When	O	O	_	_	
5-2	you	B-ScrPart_passenger	O	webanno.custom.Corefchains_	4-7	
5-3	ride	O	B-Evoking	_	_	
5-4	on	O	I-Evoking	_	_	
5-5	the	O	I-Evoking	_	_	
5-6	bus	B-ScrPart_bus	I-Evoking	webanno.custom.Corefchains_	3-3	
5-7	there	O	O	_	_	
5-8	can	O	O	_	_	
5-9	be	O	B-UnrelEv	_	_	
5-10	all	O	O	_	_	
5-11	types	O	O	_	_	
5-12	of	O	O	_	_	
5-13	people	B-ScrPart_passenger	O	webanno.custom.Corefchains_	4-14	
5-14	on	O	O	_	_	
5-15	the	O	O	_	_	
5-16	bus	B-ScrPart_bus	O	webanno.custom.Corefchains_	5-6	
5-17	with	O	O	_	_	
5-18	you	B-ScrPart_passenger	O	webanno.custom.Corefchains_	5-2	
5-19	.	O	O	_	_	

#id=6
#text=I had my MP3 player with me with ear-buds so I put my ear-buds into my ears and turned on my MP3 player and began listening to my music .
6-1	I	B-ScrPart_passenger	O	webanno.custom.Corefchains_	5-18	
6-2	had	O	B-UnrelEv	_	_	
6-3	my	B-ScrPart_passenger	O	webanno.custom.Corefchains_	6-1	
6-4	MP3	O	O	_	_	
6-5	player	O	O	_	_	
6-6	with	O	O	_	_	
6-7	me	B-ScrPart_passenger	O	webanno.custom.Corefchains_	6-3	
6-8	with	O	O	_	_	
6-9	ear-buds	B-NPart	O	_	_	
6-10	so	O	O	_	_	
6-11	I	B-ScrPart_passenger	O	webanno.custom.Corefchains_	6-7	
6-12	put	O	B-RelNScrEv	_	_	
6-13	my	B-ScrPart_passenger	O	webanno.custom.Corefchains_	6-11	
6-14	ear-buds	B-NPart	O	_	_	
6-15	into	O	O	_	_	
6-16	my	B-ScrPart_passenger	O	webanno.custom.Corefchains_	6-13	
6-17	ears	O	O	_	_	
6-18	and	O	O	_	_	
6-19	turned	O	B-UnrelEv	_	_	
6-20	on	O	O	_	_	
6-21	my	B-ScrPart_passenger	O	webanno.custom.Corefchains_	6-16	
6-22	MP3	O	O	_	_	
6-23	player	O	O	_	_	
6-24	and	O	O	_	_	
6-25	began	O	B-UnrelEv	_	_	
6-26	listening	O	B-ScrEv_spend_time_bus	_	_	
6-27	to	O	O	_	_	
6-28	my	B-ScrPart_passenger	O	webanno.custom.Corefchains_	6-21	
6-29	music	B-NPart	O	_	_	
6-30	.	O	O	_	_	

#id=7
#text=My public bus ride was n't very long so after a little while the bus stopped at my stop and I got off the bus and arrived at my destination .
7-1	My	B-ScrPart_passenger	O	webanno.custom.Corefchains_	6-28	
7-2	public	O	O	_	_	
7-3	bus	B-ScrPart_bus	O	webanno.custom.Corefchains_	5-16	
7-4	ride	B-MissScrPart	O	_	_	
7-5	was	O	B-UnrelEv	_	_	
7-6	n't	O	O	_	_	
7-7	very	O	O	_	_	
7-8	long	O	O	_	_	
7-9	so	O	O	_	_	
7-10	after	O	O	_	_	
7-11	a	O	O	_	_	
7-12	little	O	O	_	_	
7-13	while	O	O	_	_	
7-14	the	O	O	_	_	
7-15	bus	B-ScrPart_bus	O	webanno.custom.Corefchains_	7-3	
7-16	stopped	O	B-ScrEv_bus_stops	_	_	
7-17	at	O	O	_	_	
7-18	my	B-ScrPart_passenger	O	webanno.custom.Corefchains_	7-1	
7-19	stop	B-ScrPart_bus_stop	O	_	_	
7-20	and	O	O	_	_	
7-21	I	B-ScrPart_passenger	O	webanno.custom.Corefchains_	7-18	
7-22	got	O	B-ScrEv_get_off|B-ScrEv_get_off	_	_	
7-23	off	O	I-ScrEv_get_off	_	_	
7-24	the	O	O	_	_	
7-25	bus	B-ScrPart_bus	O	webanno.custom.Corefchains_	7-15	
7-26	and	O	O	_	_	
7-27	arrived	O	B-UnrelEv	_	_	
7-28	at	O	O	_	_	
7-29	my	B-ScrPart_passenger	O	webanno.custom.Corefchains_	7-21	
7-30	destination	B-ScrPart_destination	O	_	_	
7-31	.	O	O	_	_	

#id=8
#text=Riding on a public bus can be a fun experience if you want it to be and you can even talk to the other people on the public bus but overall I had a good experience . 
8-1	Riding	O	B-Evoking	_	_	
8-2	on	O	I-Evoking	_	_	
8-3	a	O	I-Evoking	_	_	
8-4	public	O	I-Evoking	_	_	
8-5	bus	B-ScrPart_bus	I-Evoking	webanno.custom.Corefchains_	7-25	
8-6	can	O	O	_	_	
8-7	be	O	B-UnrelEv	_	_	
8-8	a	O	O	_	_	
8-9	fun	O	O	_	_	
8-10	experience	O	O	_	_	
8-11	if	O	O	_	_	
8-12	you	B-ScrPart_passenger	O	webanno.custom.Corefchains_	7-29	
8-13	want	O	B-UnrelEv	_	_	
8-14	it	O	O	_	_	
8-15	to	O	O	_	_	
8-16	be	O	B-UnrelEv	_	_	
8-17	and	O	O	_	_	
8-18	you	B-ScrPart_passenger	O	webanno.custom.Corefchains_	8-12	
8-19	can	O	O	_	_	
8-20	even	O	O	_	_	
8-21	talk	O	B-UnrelEv	_	_	
8-22	to	O	O	_	_	
8-23	the	O	O	_	_	
8-24	other	O	O	_	_	
8-25	people	B-ScrPart_passenger	O	webanno.custom.Corefchains_	5-13	
8-26	on	O	O	_	_	
8-27	the	O	O	_	_	
8-28	public	O	O	_	_	
8-29	bus	B-ScrPart_bus	O	webanno.custom.Corefchains_	8-5	
8-30	but	O	O	_	_	
8-31	overall	O	O	_	_	
8-32	I	B-ScrPart_passenger	O	webanno.custom.Corefchains_	8-18	
8-33	had	O	B-UnrelEv	_	_	
8-34	a	O	O	_	_	
8-35	good	O	O	_	_	
8-36	experience	O	O	_	_	
8-37	.	O	O	_	_	

