 # webanno.custom.Participants | Participants | Participant # webanno.custom.Events | Events
#id=1
#text=My friend and his wife have a dessert business and baking cakes is their specialty .
1-1	My	B-ScrPart_cook|B-ScrPart_cook	B-webanno.custom.Participants_|B-webanno.custom.Participants_	O	
5-24	their	B-ScrPart_cook	B-webanno.custom.Participants_	O	
5-25	last	O	O	O	
5-26	order	B-NPart	B-webanno.custom.Participants_	O	
5-27	.	O	O	O	

#id=6
#text=I put on my apron as we got out the flour , eggs , sugar , butter , and cake mix .
6-1	I	B-ScrPart_cook	B-webanno.custom.Participants_	O	
6-2	put	O	O	B-RelNScrEv	
6-3	on	O	O	I-RelNScrEv	
6-4	my	B-ScrPart_cook	B-webanno.custom.Participants_	O	
6-5	apron	B-ScrPart_utensil	B-webanno.custom.Participants_	O	
6-6	as	O	O	O	
6-7	we	B-ScrPart_cook	B-webanno.custom.Participants_	O	
6-8	got	O	O	B-ScrEv_get_ingredients	
6-9	out	O	O	I-ScrEv_get_ingredients	
6-10	the	O	O	O	
6-11	flour	B-ScrPart_ingredients	B-webanno.custom.Participants_	O	
6-12	,	O	O	O	
6-13	eggs	B-ScrPart_ingredients	B-webanno.custom.Participants_	O	
6-14	,	O	O	O	
6-15	sugar	B-ScrPart_ingredients	B-webanno.custom.Participants_	O	
6-16	,	O	O	O	
6-17	butter	B-ScrPart_ingredients	B-webanno.custom.Participants_	O	
6-18	,	O	O	O	
6-19	and	O	O	O	
6-20	cake	B-ScrPart_ingredients	B-webanno.custom.Participants_	O	
6-21	mix	I-ScrPart_ingredients|B-ScrPart_ingredients	I-webanno.custom.Participants_|B-webanno.custom.Participants_	O	
6-22	.	O	O	O	

#id=7
#text=We poured the cake mix , sugar , and flour in a bowl while we melted the butter and mixed it in with the eggs and some added water .
7-1	We	B-ScrPart_cook	B-webanno.custom.Participants_	O	
7-2	poured	O	O	B-ScrEv_add_ingredients	
7-3	the	O	O	O	
7-4	cake	B-ScrPart_ingredients	B-webanno.custom.Participants_	O	
7-5	mix	I-ScrPart_ingredients|B-ScrPart_ingredients	I-webanno.custom.Participants_|B-webanno.custom.Participants_	O	
7-6	,	O	O	O	
7-7	sugar	B-ScrPart_ingredients	B-webanno.custom.Participants_	O	
7-8	,	O	O	O	
7-9	and	O	O	O	
7-10	flour	B-ScrPart_ingredients	B-webanno.custom.Participants_	O	
7-11	in	O	O	O	
7-12	a	O	O	O	
7-13	bowl	B-ScrPart_utensil	B-webanno.custom.Participants_	O	
7-14	while	O	O	O	
7-15	we	B-ScrPart_cook	B-webanno.custom.Participants_	O	
7-16	melted	O	O	B-ScrEv_prepare_ingredients	
7-17	the	O	O	O	
7-18	butter	B-ScrPart_ingredients	B-webanno.custom.Participants_	O	
7-19	and	O	O	O	
7-20	mixed	O	O	B-ScrEv_add_ingredients	
7-21	it	B-ScrPart_ingredients	B-webanno.custom.Participants_	O	
7-22	in	O	O	O	
7-23	with	O	O	O	
7-24	the	O	O	O	
7-25	eggs	B-ScrPart_ingredients	B-webanno.custom.Participants_	O	
7-26	and	O	O	O	
7-27	some	O	O	O	
7-28	added	O	O	B-ScrEv_add_ingredients	
7-29	water	B-ScrPart_ingredients	B-webanno.custom.Participants_	O	
7-30	.	O	O	O	

#id=8
#text=Then , we mixed everything together with a beater .
8-1	Then	O	O	O	
8-2	,	O	O	O	
8-3	we	B-ScrPart_cook	B-webanno.custom.Participants_	O	
8-4	mixed	O	O	B-ScrEv_make_dough	
8-5	everything	B-ScrPart_ingredients	B-webanno.custom.Participants_	O	
8-6	together	O	O	O	
8-7	with	O	O	O	
8-8	a	O	O	O	
8-9	beater	B-ScrPart_utensil	B-webanno.custom.Participants_	O	
8-10	.	O	O	O	

#id=9
#text=I swear , that is always the best part of baking a cake !
9-1	I	B-ScrPart_cook	B-webanno.custom.Participants_	O	
9-2	swear	O	O	B-UnrelEv	
9-3	,	O	O	O	
9-4	that	O	O	O	
9-5	is	O	O	B-UnrelEv	
9-6	always	O	O	O	
9-7	the	O	O	O	
9-8	best	O	O	O	
9-9	part	B-No_label	B-webanno.custom.Participants_	O	
9-10	of	O	O	O	
9-11	baking	O	O	B-Evoking	
9-12	a	O	O	I-Evoking	
9-13	cake	B-ScrPart_cake	B-webanno.custom.Participants_	I-Evoking	
9-14	!	O	O	O	

#id=10
#text=I licked the little beater things clean while my friend 's wife greased the pans .
10-1	I	B-ScrPart_cook	B-webanno.custom.Participants_	O	
10-2	licked	O	O	B-RelNScrEv	
10-3	the	O	O	O	
10-4	little	O	O	O	
10-5	beater	B-ScrPart_utensil	B-webanno.custom.Participants_	O	
10-6	things	I-ScrPart_utensil|B-ScrPart_utensil	I-webanno.custom.Participants_|B-webanno.custom.Participants_	O	
10-7	clean	O	O	O	
10-8	while	O	O	O	
10-9	my	B-ScrPart_cook	B-webanno.custom.Participants_	O	
10-10	friend	B-ScrPart_cook	B-webanno.custom.Participants_	O	
10-11	's	O	O	O	
10-12	wife	B-ScrPart_cook	B-webanno.custom.Participants_	O	
10-13	greased	O	O	B-ScrEv_grease_cake_tin	
10-14	the	O	O	O	
10-15	pans	B-ScrPart_cake_tin	B-webanno.custom.Participants_	O	
10-16	.	O	O	O	

#id=11
#text=We then pour the cake batter into the pans and put it into the oven which had already been preheated to 350 degrees .
11-1	We	B-ScrPart_cook	B-webanno.custom.Participants_	O	
11-2	then	O	O	O	
11-3	pour	O	O	B-ScrEv_pour_dough	
11-4	the	O	O	O	
11-5	cake	B-ScrPart_dough	B-webanno.custom.Participants_	O	
11-6	batter	I-ScrPart_dough	I-webanno.custom.Participants_	O	
11-7	into	O	O	O	
11-8	the	O	O	O	
11-9	pans	B-ScrPart_cake_tin	B-webanno.custom.Participants_	O	
11-10	and	O	O	O	
11-11	put	O	O	B-ScrEv_put_cake_oven	
11-12	it	B-ScrPart_dough	B-webanno.custom.Participants_	O	
11-13	into	O	O	O	
11-14	the	O	O	O	
11-15	oven	B-ScrPart_oven	B-webanno.custom.Participants_	O	
11-16	which	B-ScrPart_oven	B-webanno.custom.Participants_	O	
11-17	had	O	O	O	
11-18	already	O	O	O	
11-19	been	O	O	O	
11-20	preheated	O	O	B-ScrEv_preheat	
11-21	to	O	O	O	
11-22	350	B-ScrPart_temperature	B-webanno.custom.Participants_	O	
11-23	degrees	I-ScrPart_temperature	I-webanno.custom.Participants_	O	
11-24	.	O	O	O	

#id=12
#text=We left them in the oven for 25 minutes and once they were done , we got them out and put them on a window sill to cool .
12-1	We	B-ScrPart_cook	B-webanno.custom.Participants_	O	
12-2	left	O	O	B-ScrEv_wait	
12-3	them	B-ScrPart_cake	B-webanno.custom.Participants_	O	
12-4	in	O	O	O	
12-5	the	O	O	O	
12-6	oven	B-ScrPart_oven	B-webanno.custom.Participants_	O	
12-7	for	O	O	O	
12-8	25	B-ScrPart_time	B-webanno.custom.Participants_	O	
12-9	minutes	I-ScrPart_time	I-webanno.custom.Participants_	O	
12-10	and	O	O	O	
12-11	once	O	O	O	
12-12	they	B-ScrPart_cake	B-webanno.custom.Participants_	O	
12-13	were	O	O	O	
12-14	done	O	O	B-ScrEv_wait	
12-15	,	O	O	O	
12-16	we	B-ScrPart_cook	B-webanno.custom.Participants_	O	
12-17	got	O	O	B-ScrEv_take_out_oven	
12-18	them	B-ScrPart_cake	B-webanno.custom.Participants_	O	
12-19	out	O	O	O	
12-20	and	O	O	O	
12-21	put	O	O	B-ScrEv_cool_down	
12-22	them	B-ScrPart_cake	B-webanno.custom.Participants_	O	
12-23	on	O	O	O	
12-24	a	O	O	O	
12-25	window	B-ScrPart_kitchen/location	B-webanno.custom.Participants_	O	
12-26	sill	I-ScrPart_kitchen/location|B-ScrPart_kitchen/location	I-webanno.custom.Participants_|B-webanno.custom.Participants_	O	
12-27	to	O	O	O	
12-28	cool	O	O	B-ScrEv_cool_down	
12-29	.	O	O	O	

#id=13
#text=Ah , the smell was wonderful ! 
13-1	Ah	O	O	O	
13-2	,	O	O	O	
13-3	the	O	O	O	
13-4	smell	B-NPart	B-webanno.custom.Participants_	O	
13-5	was	O	O	B-UnrelEv	
13-6	wonderful	O	O	O	
13-7	!	O	O	O	

