 # webanno.custom.Participants | Participant # webanno.custom.Events | Events # webanno.custom.Corefchains | Coref | AttachTo=webanno.custom.Participants
#id=1
#text=My husband and I love trees .
1-1	My	B-ScrPart_gardener|B-ScrPart_gardener	O	webanno.custom.Corefchains_|webanno.custom.Corefchains_	2-4|1-4	
#id=4
#text=It was n't too hot because there was a cool breeze .
4-1	It	O	O	_	_	
4-2	was	O	B-UnrelEv	_	_	
4-3	n't	O	O	_	_	
4-4	too	O	O	_	_	
4-5	hot	O	O	_	_	
4-6	because	O	O	_	_	
4-7	there	O	O	_	_	
4-8	was	O	B-UnrelEv	_	_	
4-9	a	O	O	_	_	
4-10	cool	O	O	_	_	
4-11	breeze	O	O	_	_	
4-12	.	O	O	_	_	

#id=5
#text=We went out to the back garden with shovels and trowels , gardening gloves and the hose .
5-1	We	B-ScrPart_gardener	O	webanno.custom.Corefchains_	6-1	
5-2	went	O	B-RelNScrEv	_	_	
5-3	out	O	I-RelNScrEv	_	_	
5-4	to	O	O	_	_	
5-5	the	O	O	_	_	
5-6	back	B-ScrPart_location_garden	O	_	_	
5-7	garden	I-ScrPart_location_garden|B-ScrPart_location_garden	O	_	_	
5-8	with	O	O	_	_	
5-9	shovels	B-ScrPart_gardening_tool	O	_	_	
5-10	and	O	O	_	_	
5-11	trowels	B-ScrPart_gardening_tool	O	webanno.custom.Corefchains_	10-25	
5-12	,	O	O	_	_	
5-13	gardening	B-ScrPart_gardening_tool	O	_	_	
5-14	gloves	I-ScrPart_gardening_tool|B-ScrPart_gardening_tool	O	_	_	
5-15	and	O	O	_	_	
5-16	the	O	O	_	_	
5-17	hose	B-ScrPart_gardening_tool	O	_	_	
5-18	.	O	O	_	_	

#id=6
#text=We each dug a hole .
6-1	We	B-ScrPart_gardener	O	webanno.custom.Corefchains_	8-1	
6-2	each	O	O	_	_	
6-3	dug	O	B-ScrEv_dug_hole	_	_	
6-4	a	O	O	_	_	
6-5	hole	B-ScrPart_hole	O	webanno.custom.Corefchains_|webanno.custom.Corefchains_|webanno.custom.Corefchains_	10-8|7-14|7-1	
6-6	.	O	O	_	_	

#id=7
#text=Mine was for the white birch I had picked out , and my husband 's was for a hazel tree he had picked out .
7-1	Mine	B-ScrPart_hole	O	_	_	
7-2	was	O	B-UnrelEv	_	_	
7-3	for	O	O	_	_	
7-4	the	O	O	_	_	
7-5	white	O	O	_	_	
7-6	birch	B-ScrPart_tree	O	_	_	
7-7	I	B-ScrPart_gardener	O	webanno.custom.Corefchains_	7-13	
7-8	had	O	O	_	_	
7-9	picked	O	B-ScrEv_choose_tree	_	_	
7-10	out	O	I-ScrEv_choose_tree	_	_	
7-11	,	O	O	_	_	
7-12	and	O	O	_	_	
7-13	my	B-ScrPart_gardener	O	_	_	
7-14	husband	B-ScrPart_hole|B-ScrPart_gardener	O	webanno.custom.Corefchains_	7-21	
7-15	's	I-ScrPart_hole	O	_	_	
7-16	was	O	B-UnrelEv	_	_	
7-17	for	O	O	_	_	
7-18	a	O	O	_	_	
7-19	hazel	B-ScrPart_tree	O	_	_	
7-20	tree	I-ScrPart_tree|B-ScrPart_tree	O	_	_	
7-21	he	B-ScrPart_gardener	O	_	_	
7-22	had	O	O	_	_	
7-23	picked	O	B-ScrEv_choose_tree	_	_	
7-24	out	O	I-ScrEv_choose_tree	_	_	
7-25	.	O	O	_	_	

#id=8
#text=We laughed and talked as we worked , and the digging went quickly .
8-1	We	B-ScrPart_gardener	O	webanno.custom.Corefchains_	8-6	
8-2	laughed	O	B-UnrelEv	_	_	
8-3	and	O	O	_	_	
8-4	talked	O	B-UnrelEv	_	_	
8-5	as	O	O	_	_	
8-6	we	B-ScrPart_gardener	O	webanno.custom.Corefchains_	9-11	
8-7	worked	O	B-ScrEv_dug_hole	_	_	
8-8	,	O	O	_	_	
8-9	and	O	O	_	_	
8-10	the	O	O	_	_	
8-11	digging	O	B-ScrEv_dug_hole	_	_	
8-12	went	O	O	_	_	
8-13	quickly	O	O	_	_	
8-14	.	O	O	_	_	

#id=9
#text=The soil was also not too stony , which helped us greatly .
9-1	The	O	O	_	_	
9-2	soil	B-ScrPart_dirt	O	webanno.custom.Corefchains_	10-18	
9-3	was	O	B-UnrelEv	_	_	
9-4	also	O	O	_	_	
9-5	not	O	O	_	_	
9-6	too	O	O	_	_	
9-7	stony	O	O	_	_	
9-8	,	O	O	_	_	
9-9	which	O	O	_	_	
9-10	helped	O	B-UnrelEv	_	_	
9-11	us	B-ScrPart_gardener	O	webanno.custom.Corefchains_	10-2	
9-12	greatly	O	O	_	_	
9-13	.	O	O	_	_	

#id=10
#text=Soon we had our trees in the holes , and held them upright as we scooped the dirt back into the holes with our trowels .
10-1	Soon	O	O	_	_	
10-2	we	B-ScrPart_gardener	O	webanno.custom.Corefchains_	10-4	
10-3	had	O	B-ScrEv_place_root	_	_	
10-4	our	B-ScrPart_gardener	O	webanno.custom.Corefchains_	10-15	
10-5	trees	B-ScrPart_tree	O	webanno.custom.Corefchains_	10-12	
10-6	in	O	O	_	_	
10-7	the	O	O	_	_	
10-8	holes	B-ScrPart_hole	O	webanno.custom.Corefchains_	10-22	
10-9	,	O	O	_	_	
10-10	and	O	O	_	_	
10-11	held	O	B-RelNScrEv	_	_	
10-12	them	B-ScrPart_tree	O	webanno.custom.Corefchains_	11-10	
10-13	upright	O	O	_	_	
10-14	as	O	O	_	_	
10-15	we	B-ScrPart_gardener	O	webanno.custom.Corefchains_	10-24	
10-16	scooped	O	B-ScrEv_refill_hole	_	_	
10-17	the	O	O	_	_	
10-18	dirt	B-ScrPart_dirt	O	webanno.custom.Corefchains_	11-4	
10-19	back	O	O	_	_	
10-20	into	O	O	_	_	
10-21	the	O	O	_	_	
10-22	holes	B-ScrPart_hole	O	_	_	
10-23	with	O	O	_	_	
10-24	our	B-ScrPart_gardener	O	webanno.custom.Corefchains_	11-1	
10-25	trowels	B-ScrPart_gardening_tool	O	_	_	
10-26	.	O	O	_	_	

#id=11
#text=We patted the dirt down , made sure the trees were upright , and gave them some water to grow on .
11-1	We	B-ScrPart_gardener	O	webanno.custom.Corefchains_	12-2	
11-2	patted	O	B-ScrEv_tamp_dirt	_	_	
11-3	the	O	O	_	_	
11-4	dirt	B-ScrPart_dirt	O	_	_	
11-5	down	O	O	_	_	
11-6	,	O	O	_	_	
11-7	made	O	B-RelNScrEv	_	_	
11-8	sure	O	I-RelNScrEv	_	_	
11-9	the	O	O	_	_	
11-10	trees	B-ScrPart_tree	O	webanno.custom.Corefchains_	11-16	
11-11	were	O	B-UnrelEv	_	_	
11-12	upright	O	O	_	_	
11-13	,	O	O	_	_	
11-14	and	O	O	_	_	
11-15	gave	O	B-ScrEv_water	_	_	
11-16	them	B-ScrPart_tree	O	webanno.custom.Corefchains_	12-7	
11-17	some	O	O	_	_	
11-18	water	B-ScrPart_water	O	_	_	
11-19	to	O	O	_	_	
11-20	grow	O	B-RelNScrEv	_	_	
11-21	on	O	O	_	_	
11-22	.	O	O	_	_	

#id=12
#text=Soon we would have two beautiful trees . 
12-1	Soon	O	O	_	_	
12-2	we	B-ScrPart_gardener	O	_	_	
12-3	would	O	O	_	_	
12-4	have	O	B-UnrelEv	_	_	
12-5	two	O	O	_	_	
12-6	beautiful	O	O	_	_	
12-7	trees	B-ScrPart_tree	O	_	_	
12-8	.	O	O	_	_	

