 # webanno.custom.Participants | Participant # webanno.custom.Events | Events # webanno.custom.Corefchains | Coref | AttachTo=webanno.custom.Participants
#id=1
#text=Our back yard was so bare , so we decided to plant a tree to spruce it up .
1-1	Our	B-ScrPart_gardener	O	webanno.custom.Corefchains_	1-9	
4-10	work	O	O	_	_	
4-11	.	O	O	_	_	

#id=5
#text=We dug a hole in the ground big enough for the sapling to be planted .
5-1	We	B-ScrPart_gardener	O	webanno.custom.Corefchains_	6-2	
5-2	dug	O	B-ScrEv_dug_hole	_	_	
5-3	a	O	O	_	_	
5-4	hole	B-ScrPart_hole	O	webanno.custom.Corefchains_	6-5	
5-5	in	O	O	_	_	
5-6	the	O	O	_	_	
5-7	ground	B-ScrPart_dirt	O	webanno.custom.Corefchains_	7-19	
5-8	big	O	O	_	_	
5-9	enough	O	O	_	_	
5-10	for	O	O	_	_	
5-11	the	O	O	_	_	
5-12	sapling	B-ScrPart_tree	O	webanno.custom.Corefchains_	6-11	
5-13	to	O	O	_	_	
5-14	be	O	O	_	_	
5-15	planted	O	B-ScrEv_place_root	_	_	
5-16	.	O	O	_	_	

#id=6
#text=Once we had the hole ready , in went the sapling .
6-1	Once	O	O	_	_	
6-2	we	B-ScrPart_gardener	O	webanno.custom.Corefchains_	7-1	
6-3	had	O	B-UnrelEv	_	_	
6-4	the	O	O	_	_	
6-5	hole	B-ScrPart_hole	O	_	_	
6-6	ready	O	O	_	_	
6-7	,	O	O	_	_	
6-8	in	O	O	_	_	
6-9	went	O	B-ScrEv_place_root	_	_	
6-10	the	O	O	_	_	
6-11	sapling	B-ScrPart_tree	O	webanno.custom.Corefchains_	7-4	
6-12	.	O	O	_	_	

#id=7
#text=We made sure it was in deep enough and was standing straight up , then we put the dirt back in around the sapling .
7-1	We	B-ScrPart_gardener	O	webanno.custom.Corefchains_	7-16	
7-2	made	O	B-RelNScrEv	_	_	
7-3	sure	O	I-RelNScrEv	_	_	
7-4	it	B-ScrPart_tree	O	webanno.custom.Corefchains_	7-24	
7-5	was	O	B-ScrEv_place_root	_	_	
7-6	in	O	I-ScrEv_place_root	_	_	
7-7	deep	O	O	_	_	
7-8	enough	O	O	_	_	
7-9	and	O	O	_	_	
7-10	was	O	O	_	_	
7-11	standing	O	B-RelNScrEv	_	_	
7-12	straight	O	O	_	_	
7-13	up	O	O	_	_	
7-14	,	O	O	_	_	
7-15	then	O	O	_	_	
7-16	we	B-ScrPart_gardener	O	webanno.custom.Corefchains_	8-1	
7-17	put	O	B-ScrEv_refill_hole	_	_	
7-18	the	O	O	_	_	
7-19	dirt	B-ScrPart_dirt	O	webanno.custom.Corefchains_	8-5	
7-20	back	O	O	_	_	
7-21	in	O	O	_	_	
7-22	around	O	O	_	_	
7-23	the	O	O	_	_	
7-24	sapling	B-ScrPart_tree	O	webanno.custom.Corefchains_	8-12	
7-25	.	O	O	_	_	

#id=8
#text=We carefully patted the dirt down so it would hold the sapling nice and firm .
8-1	We	B-ScrPart_gardener	O	webanno.custom.Corefchains_	9-2	
8-2	carefully	O	O	_	_	
8-3	patted	O	B-ScrEv_damp_dirt	_	_	
8-4	the	O	O	_	_	
8-5	dirt	B-ScrPart_dirt	O	webanno.custom.Corefchains_	8-8	
8-6	down	O	O	_	_	
8-7	so	O	O	_	_	
8-8	it	B-ScrPart_dirt	O	webanno.custom.Corefchains_	9-31	
8-9	would	O	O	_	_	
8-10	hold	O	B-RelNScrEv	_	_	
8-11	the	O	O	_	_	
8-12	sapling	B-ScrPart_tree	O	webanno.custom.Corefchains_	9-16	
8-13	nice	O	O	_	_	
8-14	and	O	O	_	_	
8-15	firm	O	O	_	_	
8-16	.	O	O	_	_	

#id=9
#text=Once we had done that , we took the garden hose and watered our new plant , making sure it had enough water , but not so much that the dirt would get too muddy and the sapling might be loose .
9-1	Once	O	O	_	_	
9-2	we	B-ScrPart_gardener	O	webanno.custom.Corefchains_	9-7	
9-3	had	O	O	_	_	
9-4	done	O	B-UnrelEv	_	_	
9-5	that	O	O	_	_	
9-6	,	O	O	_	_	
9-7	we	B-ScrPart_gardener	O	webanno.custom.Corefchains_	9-14	
9-8	took	O	B-ScrEv_get_tools	_	_	
9-9	the	O	O	_	_	
9-10	garden	B-ScrPart_gardening_tool	O	_	_	
9-11	hose	I-ScrPart_gardening_tool|B-ScrPart_gardening_tool	O	_	_	
9-12	and	O	O	_	_	
9-13	watered	O	B-ScrEv_water	_	_	
9-14	our	B-ScrPart_gardener	O	webanno.custom.Corefchains_	10-2	
9-15	new	O	O	_	_	
9-16	plant	B-ScrPart_tree	O	webanno.custom.Corefchains_	9-20	
9-17	,	O	O	_	_	
9-18	making	O	B-UnrelEv	_	_	
9-19	sure	O	I-UnrelEv	_	_	
9-20	it	B-ScrPart_tree	O	webanno.custom.Corefchains_	9-38	
9-21	had	O	B-ScrEv_water	_	_	
9-22	enough	O	O	_	_	
9-23	water	B-ScrPart_water	O	_	_	
9-24	,	O	O	_	_	
9-25	but	O	O	_	_	
9-26	not	O	O	_	_	
9-27	so	O	O	_	_	
9-28	much	O	O	_	_	
9-29	that	O	O	_	_	
9-30	the	O	O	_	_	
9-31	dirt	B-ScrPart_dirt	O	_	_	
9-32	would	O	O	_	_	
9-33	get	O	B-RelNScrEv	_	_	
9-34	too	O	O	_	_	
9-35	muddy	O	O	_	_	
9-36	and	O	O	_	_	
9-37	the	O	O	_	_	
9-38	sapling	B-ScrPart_tree	O	webanno.custom.Corefchains_	10-10	
9-39	might	O	O	_	_	
9-40	be	O	B-RelNScrEv	_	_	
9-41	loose	O	O	_	_	
9-42	.	O	O	_	_	

#id=10
#text=Then we took a step back and looked at what would eventually become our new apple tree . 
10-1	Then	O	O	_	_	
10-2	we	B-ScrPart_gardener	O	webanno.custom.Corefchains_	10-14	
10-3	took	O	B-UnrelEv	_	_	
10-4	a	O	O	_	_	
10-5	step	O	O	_	_	
10-6	back	O	O	_	_	
10-7	and	O	O	_	_	
10-8	looked	O	B-UnrelEv	_	_	
10-9	at	O	I-UnrelEv	_	_	
10-10	what	B-ScrPart_tree	O	webanno.custom.Corefchains_	10-17	
10-11	would	O	O	_	_	
10-12	eventually	O	O	_	_	
10-13	become	O	B-UnrelEv	_	_	
10-14	our	B-ScrPart_gardener	O	_	_	
10-15	new	O	O	_	_	
10-16	apple	B-ScrPart_tree	O	_	_	
10-17	tree	I-ScrPart_tree|B-ScrPart_tree	O	_	_	
10-18	.	O	O	_	_	

